,teks,label,clean_teks
2425,"USER USER Yang ngeles mulu bukanya lo cebong kapir haha otak gak nyampe, salah nangkep kalimat, ngata2in islam. Kebanyakan ngeles nih cebong kapir intoleran, sara, munafik, pemakan taik ahok peminum rendeman kolor oplos kencing onta hahaha",yes,user user alas buka cebong kapir haha otak salah nangkep kalimat islam banyak alas nih cebong kapir intoleran sara munafik makan taik ahok minum rendeman kolor oplos kencing onta hahaha
2426,"Idolanya Harun Yahya, Zakir Naik, Felix Siauw....cita2nya menguasai dunia mengalahkan yahudi, jd rahmat bg seluruh alam, mungkin itu di semesta lain kali yee, di bumi ke 13.",yes,idola harun yahya zakir felix siauwcitanya kuasa dunia kalah yahudi rahmat alam semesta kali yee bumi
2427,5 tahun ke depan gak bakal menghabiskan waktu buat membenci anies-sandi.,yes,habis benci aniessandi
2428,USER USER Gerombolan cebong pada ngumpet kayak di sembur air.,yes,user user gerombol cebong sembunyi sembur air
2429,USER Cebong dongo USER USER USER USER USER tetap aja dongo abadi                                    \x,yes,user cebong dongo user user user user user dongo abadi x
2430,Lbh baik spt jgn menunggu 2019 lengserkan sesegera mgkn !! Betul perkataan pak USER bs hancur negeri ini klo USER presidentnya,yes,tunggu lengser kata user hancur negeri user presidentnya
2431,Yg benci muslim biasanya antek komunis. Puluhan tahun mrk bantai Muslim.,yes,benci muslim antek komunis puluh bantai muslim
2432,RT USER Jangan merasa sakti dgn jubah kekuasaan. Jangan menunggu rakyat marah. Pecat Setya Novanto PecatKetuaDPR,yes,rt user sakti jubah kuasa tunggu rakyat marah pecat setya novanto pecatketuadpr
2433,USER Cukup Satu Periode Saja Indonesia Menjadi Negara Yang Gagal.. - Gagal Ciptakan 10jt Lap.pekerjaan - Gagal Tdk Bagi2 Kekuasaan - Gagal Tdk Akan Hutang Lagi - Gagal Tdk Menaikan BBM - USER Gagal Potong Kuping insyaAllah #2019G,yes,user periode indonesia negara gagal gagal cipta juta lappekerjaan gagal kuasa gagal hutang gagal naik bbm user gagal potong kuping insyaallah
2434,Bacot lu member karma,yes,bacot member karma
2435,Jadi bangsa yang pecundang kalo begitu. Pantes saja kalo jadi cukong dan antek asing.,yes,bangsa cundang cukong antek asing
2436,"USER Boleh gak ya, aku ikut naboki orang bloon ini?",yes,user ya naboki orang bloon
2437,USER USER USER USER USER USER USER USER Langsung ga main twitter si bani bokep itu dr kemaren. Hobi kritik presiden tp gaweannya cuma coli sambil ngebokep ya om. Miris     \xf,yes,user user user user user user user user langsung main twitter si bani bokep kemarin hobi kritik presiden gaweannya coli ngebokep ya om miris xf
2438,USER USER USER USER cebong koplak muke lo kyk pantat kodok,yes,user user user user cebong koplak muka pantat kodok
2439,Nomor 1 sok tau lagi lansung di skak wkwkwk #DebatFinalPilkadaJKT,yes,nomor sok lansung skak wkwkwk debatfinalpilkadajkt
2440,"USER USER USER USER USER USER ape gw di ajarin dan ditanggapin sama guru trus ,.. guru gw bego gitu ,... doniiii luh ma anak TK samaaaa pinteran juga kali anak TK ,.. luh cuma jadi anjing2 yg di suruh melolong di time li",yes,user user user user user user ape ajarin ditanggapin guru guru bodoh doniiii anak tk samaaaa pinteran kali anak tk anjing suruh lolong li
2441,Rezim yg seolah sederhana merakyat dan suka pd kritik koreksi dri rakyat di opinikan terus menerus oleh media pro Diktator,yes,rezim sederhana rakyat suka kritik koreksi rakyat opini terus media pro diktator
2442,"Begitulah Pak jika seseorang sudah mengidap paranoid kayak bapak ini, semua ditangkap",yes,idap paranoid tangkap
2443,USER Aseng teriak aseng kaum munafik,yes,user aseng teriak aseng kaum munafik
2444,KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,yes,dik bodohgk larang bawa agamabiar orang islam bayar ahok sadar pilih ahok gla
2445,"Bahaya Islam sudah TERBUKTI, lihat Teroris Islam, ISIS dll. USER di pandang dari sudut mana islam berbahay.",yes,bahaya islam bukti lihat teroris islam isis lain user pandang sudut islam berbahay
2446,USER bukannya stigma babi itu milik tuhan elu si ahok kafir,yes,user stigma babi milik tuhan si ahok kafir
2447,"USER USER Soalnya dia budek kaya bolot Om...  Tuuh, kuping nya kotor seperti hatinya....",yes,user user budek kaya bolot om tuuh kuping nya kotor hati
2448,Kebanyakan fitnah nih mpok silvy #DebatFinalPilkadaJKT #Gue2,yes,banyak fitnah nih mpok silvy debatfinalpilkadajkt
2449,"PERNYATAAN RESMI KETUM FPI TENTANG ADE ARMANDO :  1. Ade Armando sbg Seorang Akademisi telah sering melakukan perbuatan tidak pantas sekaligus jahat &amp kotor, dari mulai Ujaran Kebencian &amp Fitnah hingga Penodaan Agama &amp Ulama.",yes,nyata resmi tum fpi armando armando akademisi buat jahat amp kotor ujar benci amp fitnah noda agama amp ulama
2450,"Ketemu klien, orang batak, dia ngegas gua ikut ngegas. Brengsek. Malu2in kantor.",yes,ketemu klien orang batak ngegas ngegas brengsek maluin kantor
2451,RT USER: Orang gila URL,yes,rt user orang gila url
2452,Omongan Ahok TERBUKTI LAGI! Anies Sandi INGKAR JANJI Soal Reklamasi: URL melalui USER,yes,omong ahok bukti anies sandi ingkar janji reklamasi url user
2453,"USER USER tai kucing lo ahh, pengecut!!",yes,user user tai kucing ahh kecut
2454,"Agama kristen sudah mati, sejak abad pertengahan, disapu oleh bankir rentenir Yahudi. Pendeta mereka mengatakan Tuhan itu satu dari tiga.",yes,agama kristen mati abad tengah sapu bankir rentenir yahudi pendeta tuhan
2455,USER USER USER USER Muke lo mirip kontol monyet,yes,user user user user muka kontol monyet
2456,"Tidak salah rakyat sepenuhnya jika proksi Asing - Aseng menjadi penguasa Jakarta dan Negara. Kesalahan terbesar ada pada Presiden USER yg gelap mata karena ambisi politik, memungkinkan proksi Asing Aseng itu menjadi penguasa  #ShameOnYouSBY",yes,salah rakyat sepenuh proksi asing aseng kuasa jakarta negara salah besar presiden user gelap mata ambisi politik proksi asing aseng kuasa shameonyousby
2457,Dan jl tersebut adalah akses menuju velodrome yang dipake untuk asean games hehehe kebijakan gubernur yg sungguh keberpihakan titit kuda,yes,jalan akses velodrome pakai asean games hehehe bijak gubernur sungguh pihak titit kuda
2458,USER USER MAJU KAMU NGATAIN MAMA AKU BOLOT,yes,user user maju mama bolot
2459,RT USER: Hajar bleh hanya untuk bela #Nomor2Koruptor...cuihhhhhh URL,yes,rt user hajar bleh bela nomorkoruptorcuihhhhhh url
2460,USER Ya uang negara dong ustad. Kyk yg bagi2 sembako incumben tu jg uang negara. Rezim bangsat.,yes,user ya uang negara ustad sembako incumben uang negara rezim bangsat
2461,USER USER USER USER Belaga pilon lo cebong!     Scroll dong!  Hp lo doang smart! Tapi otak lo ada di ujung pantat..    ,yes,user user user user belaga pilon cebong scroll hp smart otak ujung pantat
2462,RT USER USER Bubarkan aja DPR nya pasti Stop Korupsinya,yes,rt user user bubar dpr nya stop korupsi
2463,Duh dek jeksen sama temennya ini sama2 brengsek ya URL,yes,duh dek jeksen temennya brengsek ya url
2464,USER USER Cina kafir ini mah...Bangsat lu!! Dasar Komunis !!,yes,user user cina kafir mahbangsat dasar komunis
2465,USER Kasar bacot lo nying,yes,user kasar bacot nying
2466,Parpol juga tidak memiliki nasionalisme dan lebih mempromosikan negara2 asing. Parpol ini antek asing,yes,parpol milik nasionalisme promosi negara asing parpol antek asing
2467,"USER Pak USER Muhammad ngaku nabi akhir silahkan, tapi tak boleh merampas hak orang lain mengaku nabi",yes,user user muhammad ngaku nabi silah rampas hak orang aku nabi
2468,EANJINK AWAS AJA SAMPE SI BIRU2 ITU BAWA ORANG KE BACKSTAGE GUA SLEPET PAKE AHGABONG BODO,yes,eanjink awas si biru bawa orang backstage slepet pakai ahgabong bodoh
2469,USER bubarkan saja KPK fud.. Jadikan org tersangka asal asalan.. Kalah ni skrg,yes,user bubar kpk fud jadi orang sangka asal kalah ni
2470,Cowo yg hobi selfie itu ga ada beda ny sama lekong &amp banci kaleng,yes,cowok hobi selfie beda nya lekong amp banci kaleng
2471,"Allah SWT yang di-sembah2 Muslim berkoar sombong: paling kuasa, paling besar, paling sakti, nyatanya dungu & biadab",yes,allah subhanahu wata ala sembah muslim koar sombong kuasa sakti dungu biadab
2472,"knp gak minta sekalian LENGSERKAN Jokowi, biar sekalian kelihatan GOBLOKnya !!!",yes,lengser jokowi biar goblok
2473,"USER emang yang gaji nya 3 juta, kalo prabowo jadi presiden naik jadi 6 juta ,gitu?? mikir , kalo mau maju dan kaya sekolah yg tinggi, kerja yg giat, jangan nyalahin JOKOWI!! dan kalo mau kaya jadi lah USTAD PROVIKATOR",yes,user gaji nya juta prabowo presiden juta berfikir maju kaya sekolah kerja giat nyalahin jokowi kaya ustad provikator
2474,USER USER USER Wajah anak lo Kliatan Bgt ya!! Penuh dendam dan kebencian! Pasti anak anak lo makan dari hasil uang haram. Bapaknya kayak lo!! Banci dan rumpi!!! Lo ngatain gue makan tai?? Nah lo dan istri serta anak anak dan ortu lo makan bangke uang haram,yes,user user user wajah anak banget ya penuh dendam benci anak anak makan hasil uang haram bapak banci rumpi makan tai istri anak anak orangtua makan bangke uang haram
2475,USER USER USER rizik taunya pantat mana tau dia pancasila gara gara pantat pun dia kabur g fulang fulang,yes,user user user rizik tahu pantat pancasila gara gara pantat kabur fulang fulang
2476,"USER USER USER USER Saya hanya kasar thd si brengsek brisik itu, bukan thd Anda. Sana gawe lagi, perdalam ilmu, biar ga dungu seperti si onta busuk itu. Punya posisi bagus2 di sini, malah bertingkah busuk, jadi sampah skrg di gurun sana. Jgn seperti dia",yes,user user user user kasar si brengsek brisik kerja dalam ilmu biar dungu si onta busuk posisi bagus ting busuk sampah gurun
2477,RT USER Putra Daerah pada kemana? masa Siliwangi mau di ganti Ondel Ondel pak USER serius....,yes,rt user putra daerah siliwangi ganti ondel ondel user serius
2478,"USER Solusi? Hahahahaha Dana haji diambil buat infrastruktur, Duit bpjs buruh bahkan mau diambil juga. Rakyat semuanya diperes tapi masih minta solusi juga? Goblok lo emang. Penjilat tolol",yes,user solusi hahahahaha dana haji ambil infrastruktur duit bpjs buruh ambil rakyat peres solusi goblok jilat tolol
2479,"USER USER kalau pakai cara yang baik saya jamin gak ada yang peduli bos, jatohnya cuman kayak first travel. Yang booming cuman pelakunya tapi korbannya di tenggelemin, orang indonesia pada budek, harus diteriakin dulu baru ngerti.",yes,user user pakai jamin peduli bos jatohnya first travel booming laku korban tenggelemin orang indonesia budek diteriakin ngerti
2480,Prancis vs Belgia di babak pertama masih 0 - 0.  Ada sedikit persamaan dg bani cebong..  Apaan tuh?  Bani cebong/kacung otaknya juga 0 (kosong)!  ^_^  # WorldCup2018  #GantiPresiden2019,yes,perancis vs belgia babak sama bani cebong tuh bani cebongkacung otak kosong worldcup gantipresiden
2481,USER USER USER udehh tau junjungan cebong itu licik..yaa kok pada mau menghamba ama tukang ngibul..,yes,user user user udehh junjung cebong licikyaa hamba tukang khayal
2482,"USER Mereka, kaum sipit mau menguasai tambang Indonesia, kalian ketawa saja. Dasar tidak punya nasionalisme Indonesia. Lebih baik tidak usah ikut Pemilu bagi kalian yang dukung 2 periode. Dan hasilnya Tambang Indonesia dikuasai sipit dan kalian tidak",yes,user kaum sipit kuasa tambang indonesia tertawa dasar nasionalisme indonesia milu dukung periode hasil tambang indonesia asai sipit
2483,di gaji pulahan sampe ratusan juta / bulan  asset yang ada bukanya nambah tapi malah kejual  ngutang buat proyek pekerjanya malah tka  begitu banyak hasil bumi malah pilih untuk import  gara    Badut yg Akrobat Mulu    hasilnya,yes,gaji pulahan ratus juta aset buka tambah jual hutang proyek kerja tka hasil bumi pilih import gara badut akrobat hasil
2484,RT USER Hanya Orang Islam Yang Bodoh dan Goblok Yang Memilik Ahok! DebatFinalPilkadaJKT,yes,rt user orang islam bodoh goblok milik ahok debatfinalpilkadajkt
2485,Cina perusak bangsa!! Usir !! Stuju??,yes,cina usak bangsa usir tuju
2486,"USER USER USER USER Nah iya, tiap hari nyemilnya tai onta sih",yes,user user user user iya nyemilnya tai onta sih
2487,"USER USER USER USER USER Sekalipun gua ngomong pake data pasti lu juga kagak bakal ketawa bong, tapi kalo si cungkring plonga plongo jokowi yg ngomong skalipun isi kotak taik dibilang roti pasti lu percaya. Begitulah isi ota",yes,user user user user user bicara pakai data tertawa bong si cungkring plonga plongo jokowi bicara skalipun isi kotak taik bilang roti percaya isi ota
2488,BACOT!! HOMO!! ANEH!! BANGSAT!! GOBLOK!! PEA!! BAJINGAN!! SENGKLEK!! RADA2!! Tpi gua sayangghh aghh mhh,yes,bacot homo aneh bangsat goblok pea bajing sengklek sayangghh aghh mhh
2489,Artis kalo adalnya dr Kampung mau di gmnin jg ttp Aja Udik/Kampungan!! Sgala HP anak gue lah di Cemplungin!! Gue beli pake Kringat Halal!! bkn Hasil Ngangkangin laki Org!!,yes,artis adalnya kampung gmnin udikkampungan hp anak cemplungin beli pakai kringat halal hasil ngangkangin laki orang
2490,Alangkah Rugi dan Nista di ke abadian jika manusia yg tercipta dr SARIPATI TANAH tapi kembalinya di NERAKANKRI butuh Koboi HOLISTIK( IMAN),yes,alangkah rugi nista abadi manusia cipta saripati tanah kembali nerakankri butuh koboi holistik iman
2491,USER Tae. Isinya banci semwa yak?,yes,user tae isi banci semwa yak
2492,"USER Ini adalah salah satu contoh, iblis berwajah manusia",yes,user salah contoh iblis wajah manusia
2493,USER Semoga aparat2 keparat berkarat itu belangsak disisa hidupnya.,yes,user moga aparat keparat karat belangsak sisa hidup
2494,USER Lo celeng,yes,user celeng
2495,USER Ayoh bangsa indonesia bersihkan etnis cina ahok,yes,user ayoh bangsa indonesia sih etnis cina ahok
2496,Anda sudah tahu Kebajikan Khonghucu Pak Lukman? Tidak ada ajaran cocok2 penis dengan 4 istri dan penggal kafir kan?,yes,kebaji khonghucu lukman ajar cocok penis istri penggal kafir
2497,USER selamat datang setan,yes,user selamat setan
2498,"Aku sih berharap para cebong itu demo dan melaporkan USER atas dugaan penistaan agama mereka, biar dunia meliat gerombolan org2 dungu yg slama ini bersembunyi didumay dan diketiak penguasa. ??? #SuramBray",yes,sih harap cebong demo lapor user duga nista agama biar dunia liat gerombol orang dungu sembunyi didumay ketiak kuasa surambray
2499,RT USER: USER USER Anak pemberontak tak layak jadi apa-apa di negeri ini.,yes,rt user user user anak berontak layak apaapa negeri
2500,USER jangan asal ngomong ndasmu. congor lu yg sekate2 anjyng,yes,user bicara ndasmu congor sekata anjyng
2501,RT USER: Boleh minta maaf tapi proses hukum tetap harus jalan. Kunyuk satu ini harus dikasih pelajaran supaya kedepannya dia bi   ,yes,rt user maaf proses hukum jalan kunyuk kasih ajar depan bi
2502,USER jokowi yg mundur lebih pas!!!,yes,user jokowi mundur pas
2503,RT USER Bubarkan DPR asli negara tetap berjalan,yes,rt user bubar dpr asli negara jalan
2504,"USER Titit lah anies ni, jangan jadi wapres prabowo anjenk",yes,user titit anies ni wapres prabowo anjenk
2505,Gubraaaaak!!!! Malu liatnya... Untung semalem debat ga kaya MATA NAJWA.. Coba kalo formatnya sama pasti Ringsek dah pasangan ASU...,yes,gubraaaaak malu lihat untung malam debat kaya mata najwa coba format ringsek pasang asu
2506,Jagalah kesehatan berpikir dan berlogika yang benar dengan #2019GantiPresiden,yes,jaga sehat pikir logika gantipresiden
2507,USER Mantan yg terkutuk,yes,user mantan kutuk
2508,Ini anak aslinya geblek apa gimana ya? Tp likeable          ,yes,anak asli bodoh ya likeable
2509,"Pasti ada hubungannya sama partai komunis dari Cina ini, rezim antek antek aseng!",yes,hubung partai komunis cina rezim antek antek aseng
2510,USER USER lu kampang,yes,user user kampang
2511,KamiBersamaPanglima dan pak USER lebih baik mundur URL,yes,kamibersamapanglima user mundur url
2512,PDIP Sebut Puan Maharani Jadi Prioritas Cawapres Waaaaaw jdi Cawapres Jokowi...#JokowiPuan Keren..Sip AQ Setuju Bangat biar #2019GantiPresiden Bisa Nyata..Ok..lah Kalo begitu ..Keren..? VIVA,yes,pdip puan maharani prioritas cawapres waaaaaw cawapres jokowijokowipuan kerensip tuju bangat biar gantipresiden nyataoklah keren viva
2513,USER USER sontoloyo emang jakarta nih,yes,user user sontoloyo jakarta nih
2514,"USER USER USER USER USER USER USER Kenapa lo emosi? Pea. Dasar cebong,     ",yes,user user user user user user user emosi pea dasar cebong
2515,"USER Pak USER tak dpt bantah Beriman pd Allah SWT = Beriman pd KEBIADABAN, wajib pelopori Buang Islam",yes,user user bantah iman allah subhanahu wata ala iman biadab wajib lopor buang islam
2516,"Miris, GP ga belajar dari kasus Ahok.",yes,miris gp ajar ahok
2517,"USER Bocah geblek, penjara tempatnya!",yes,user bocah bodoh penjara tempat
2518,USER USER USER Dia gak cuma picik tapi juga picek,yes,user user user picik picek
2519,USER lebih unik bapak lo dari pada jokowi,yes,user unik jokowi
2520,"USER USER USER USER   Cebong2 pekok. Mantap, om Tofa. Kita kerjain aja cebong2 dungu ini         ",yes,user user user user cebong kok mantap om tofa kerja cebong dungu
2521,"Buzzer parpol pada sibuk naiking rating parpolnya.   Liberal, syiah &amp komunis sibuk jualan sekte agamanya.   Cebi sibuk jualan junjungannya 2 periode.   Bani Jamban masih sibuk muja2 Napi transparan.   Sebagian besar lalai akan waktu",yes,buzzer parpol sibuk naiking rating parpolnya liberal syiah amp komunis sibuk jual sekte agama cebi sibuk jual junjung periode bani jamban sibuk muja napi transparan lalai
2522,USER LEBIH SATRIA ANIES SANDI MUNDUR,yes,user satria anies sandi mundur
2523,USER dasar maho lu,yes,user dasar maho
2524,Pak Lukman mau menjelaskan Indonesia Baru Tanpa Islam masih perlu bicara move on terlebih dulu,yes,lukman indonesia islam bicara move on
2525,setuju! Turunkan Jokowi Karena Bela dan Pro PKI!,yes,tuju turun jokowi bela pro pki
2526,"USER Yahh ini semua gara2 mata wasit yg picek gk liat bola kena raket, jadi pada lebih menyalahkan sikap kevin -__-",yes,user yahh gara mata wasit picek lihat bola kena raket salah sikap kevin
2527,Ganyang PKI...ingat pengkhianatan PKI tahun 1948... URL,yes,ganyang pkiingat khianat pki url
2528,"Klo bapaknya di bunuh PKI ,,,, biasanya anaknya bales dendam DAN SEHARUSNYA USIR KOMUNIS CINA BUKANNYA DI BUATKAN REKLAMASI.",yes,bapak bunuh pki anak balas dendam usir komunis cina buat reklamasi
2529,USER ahmad dhani yang terhormat paling babi paling anjing aing kontol paling lonte tungu saat nya karier mu akan habis!!!!,yes,user ahmad dhani hormat babi anjing kontol lonte tunggu nya karier mu habis
2530,RT USER He hehe.. yg suka jual gorengan kan rezim jokowi betul...!?,yes,rt user he hehe suka jual goreng rezim jokowi
2531,"USER USER Ogah presuden kacung... Siapapun orgnya, yg penting jg presiden kacung",yes,user user ogah presuden kacung orang presiden kacung
2532,Para Pendukung Capres gagal Move On salalu sibuk Urus Aseng bawa kabur uang Rp 35 T. Tapi ngak sadar kenapa Aseng bisa kabur bawa uang sebanyak itu tanpa didukung Pribumi ASU. Mustahil Aseng bisa. Pribumi hanya diam kalau disogok. Mental kacung emang. URL,yes,dukung capres gagal move on salalu sibuk urus aseng bawa kabur uang rupiah t sadar aseng kabur bawa uang dukung pribumi asu mustahil aseng pribumi diam sogok mental kacung url
2533,Meh cocok sube.... wa off.. telp gk diangkat. Dasar brengsek,yes,meh cocok sube wa off telepon angkat dasar brengsek
2534,Maju lu sini anjing,yes,maju anjing
2535,Nih ya gue jelasin.   Cowo. Burungnya gaada. Jadi cewe. Cewenya bernada2.   SIAPA LAGI TRANSGENDER DI INDONESIA YG NYANYI? URL,yes,nih ya jelasin cowok burung cewek cewenya nada transgender indonesia nyanyi url
2536,Sekjen PBB keknya bagian dari Saracen.. :-),yes,sekjen pbb kayak saracen
2537,"USER Tai kucing, cina mulai intervensi wilayah kalimantan, hati Hati gara gara ahok simulut jamban",yes,user tai kucing cina intervensi wilayah kalimantan hati hati gara gara ahok simulut jamban
2538,"Digrebek sama Jokowi yang disalahkan Demokrasi, FPI lah...tegas dong mas bro USER USER Jokowi OTORITER...hehehe",yes,digrebek jokowi salah demokrasi fpi lahtegas mas bro user user jokowi otoriterhehehe
2539,"Kristen ortodox agama yang sangat mengerikan.. Mereka sholat,pake jilbab hampir sama penampilannya dengan orang...",yes,kristen ortodox agama keri sholatpake jilbab tampil orang
2540,Masak WAKIL RAKYAT tidak memberikan CONTOH yg baik untuk rakyatnya dalam membayar TAGIHAN listrik?  Kenapa bisa sampai listrik tidak bayar?   Mau salahkan JOKOWI karena TINGKAT EKONOMI lesu &amp membuat FADLI ZON tidak bayar listrik ?? ,yes,masak wakil rakyat contoh rakyat bayar tagih listrik listrik bayar salah jokowi tingkat ekonomi lesu amp fadli zon bayar listrik
2541,USER ITU SUKUN BANGSAD!,yes,user sukun bangsad
2542,USER USER USER USER USER USER USER USER USER USER USER USER itu BEM SI yg di ITB kemana ya suaranya ? jangan2 ikut razim cebong,yes,user user user user user user user user user user user user bem si itb ya suara razim cebong
2543,USER serius ini rezim anti Islam?! Ga suka jokowi boleh tapi jangan ngajak2 umat Islam membenci jokowi! URL,yes,user serius rezim anti islam suka jokowi ajak umat islam benci jokowi url
2544,USER USER USER USER USER USER USER USER USER Yaa namanya juga kegoblokan akut bang. Diajarin pinter malah makin dongo     ,yes,user user user user user user user user user yaa nama goblok akut bang diajarin pintar dongo
2545,USER USER USER USER USER EKSIS SONO DI KOLAM J LUH BONG BANGSAD,yes,user user user user user eks sono kolam bong bangsad
2546,USER China Negara Komunies Anti Islam .. Sgt Disesalkan Justru Rezim Berhutang Ma Negara Komunies,yes,user china negara komunies anti islam sesal rezim hutang negara komunies
2547,"Betul bang hancurkan merka bang, musnahkan china babi dibumi pertiwi indonesia, berkedok reklamasi itu ahok",yes,bang hancur merka bang musnah china babi bumi pertiwi indonesia kedok reklamasi ahok
2548,USER USER USER Buru hapus pollower elo cebong keburu orang lihat..bejad elo                ,yes,user user user buru hapus pollower cebong keburu orang lihatbejad
2549,"Allah SWT benci kafir, mengajarkan cocok2 penis dengan banyak istri, gemar mengazab, dan menjanjikan rampasan",yes,allah subhanahu wata ala benci kafir ajar cocok penis istri gemar azab janji rampas
2550,"USER USER USER Iya pinter, makanya males juga sih ladenin orang bodoh kaya situ Hahaha. Lah, sesuatu itu yang tau sesuatu itu sendiri. Hahahaha. Fans Juve biasanya gak ngerti, jadi tim sama fans sama sama apaaaaa? ....................",yes,user user user iya pintar malas sih ladenin orang bodoh kaya situ hahaha hahahaha fans juve ngerti tim fans apaaaaa
2551,Dgn terpilihnya presiden muslim di singapura semakin menegaskan singapura negara sangat kafir.,yes,pilih presiden muslim singapura singapura negara kafir
2552,RT USER Ternyata Budha pun teroris,yes,rt user budha teroris
2553,USER Congor baginda apa paham arti mengedepankan dialog???? Baginda cm paham fulus &amp ngaceng,yes,user congor baginda paham arti depan dialog baginda paham fulus amp ngaceng
2554,Dulu kelas menengah pilih jokowi dan lawan prabowo karena kasus HAM sekarang kok.... Hancur gini ya Indonesia,yes,kelas tengah pilih jokowi lawan prabowo ham hancur ya indonesia
2555,"USER USER USER USER USER USER USER Pesan yg sy tangkap dari cebong liberal anti islam adalah : Jangan gunakan islam dalam berpolitik , pisahkanlah agama dari politik   Itu strategi basi ala o",yes,user user user user user user user pesan tangkap cebong liberal anti islam islam politik pisah agama politik strategi basi ala o
2556,Tahun depan diprediksi akan jatuh orang2 yg mendatangkan warga China tsb. #2019GantiPresiden,yes,prediksi jatuh orang warga china gantipresiden
2557,RT USER USER HTI itu racun ini contoh orang yg keracunan HTI,yes,rt user user hati racun contoh orang racun hati
2558,"HaHaHa Bangsaaat,,,? Tak apalah yg penting masih punya morah.. Begundal bukan bajingan abal-abal    URL",yes,hahaha bangsaaat apa morah begundal bajing abalabal url
2559,"Untuk lengerkan Jokowi, Megawati lengserkan dulu Ahok, untuk lengserkan Ahok padamkan dulu lilin sepanjang Nusantara",yes,lengerkan jokowi megawati lengser ahok lengser ahok padam lilin nusantara
2560,Haruskah aku buat thread jadi TKI dimalaysia dengan jam kerja 16jam? Sebenernya ini kilang memang jahanam betol,yes,harus thread tenaga kerja idonesia dimalaysia jam kerja jam kilang jahanam betol
2561,USER USER Lo nya lah yg ngentot tu,yes,user user nya ngentot
2562,Telkomsel kacrut lagi neh? Dah 20menit wa gak bisa ngapa-ngapain. Bahkan telepon aja nggak bisa. Fakuy.,yes,telkomsel kacrut nih menit wa ngapangapain telepon fakuy
2563,USER USER Wakil rakyat cocot tok...  Ngomong apa berak,yes,user user wakil rakyat cocot tok bicara berak
2564,RT USER mmg otoriter! Buktinya USER selalu OTT? Pdhal dri partai politiknya sendiri byk ya? USER & USER Ditangkap smua?,yes,rt user otoriter bukti user ott partai politik ya user user tangkap
2565,RT USER pk sby klau jdi presiden gemuk ya pak...sekali ke restoran..8 juta ya pak.....jaman jokowi 800 pak,yes,rt user pakai sby presiden gemuk ya paksekali restoran juta ya pakjaman jokowi
2566,RT USER Penyalahgunaan wewenang MeikartaGate USER USER USER USER USER USER USER,yes,rt user penyalahgunaan wewenang meikartagate user user user user user user user
2567,"USER Tabayyun sebelum ngomyang..cocot busuk lol dipelihara, memaikan isu SARA kok bangga",yes,user tabayyun ngomyangcocot busuk tertawa pelihara mai isu sara bangga
2568,USER Cupu anjir lu,yes,user cupu anjir
2569,USER USER USER USER Kampret tolol!! Orang kayak lo tu paling susah... Kagak ngerti2 Lo kalo copas gitu yg lkp... Males gwe bahasnya terlalu sering.. nyodorin kok copas gbr tanpa tau dr mana sumber nya.. payah,yes,user user user user kampret tolol orang susah ngerti copy paste lkp malas bahas nyodorin copy paste gambar sumber nya payah
2570,ah itu perasaan ente aja. Bukti nya muslim rohingya di usir dari myanmar krn memperkosa gadis budha. Itu tanda nya BEJAT...!!!,yes,ah asa bukti nya muslim rohingya usir myanmar perkosa gadis budha tanda nya bejat
2571,USER USER Ini salah satu bangsat pengecut di Indonesia.. Yang didukung bangsat pengecut bani onta dan groupnya yang kabur ke arab sono. Ingat...Tuhan tidak tidur ...semua yang berbuat spt itu terhadap AHOK dan merasa dirinya pal,yes,user user salah bangsat kecut indonesia dukung bangsat kecut bani onta groupnya kabur arab sono ingattuhan tidur buat ahok pal
2572,Besok kalau Prabowo nyapres lagi kalau masih teriak-teriak NKRI harga mati jangan dipercaya ya?,yes,besok prabowo nyapres teriakteriak nkri harga mati percaya ya
2573,Gubernur AHOK segala lini susehhh dihantem! Perempuan? No! Uang/ korupsi? NO..makanya luu pada isengin omongan-nya !!!!,yes,gubernur ahok lini susehhh dihantem perempuan nomor uang korupsi nomakanya luu isengin omong
2574,USER Ccd si lu nya:(,yes,user ccd si nya
2575,Jgn salah target bkn ahok... agenda utama lengserkan Jokowi ..,yes,salah target ahok agenda utama lengser jokowi
2576,USER USER masa baru kena hestek aja udah kepanasan ??? Kepo banget   #2019GantiPresiden,yes,user user kena hestek panas kepo gantipresiden
2577,Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,yes,aktor huruhara prabowo s lengser perintah jokowi nyata
2578,"Berhenti jadi konsumen wisata Haji & Umoh yg menipu, jadilah podusen wisata jiarah Indonesia",yes,henti konsumen wisata haji umoh tipu podusen wisata jiarah indonesia
2579,USER Najis om lu sama om ingguk sama aja ternyata,yes,user najis om om ingguk
2580,USER Brisek lu mkn autis ntr,yes,user brisek makan autis
2581,Brengsek bgt yg ngirim foto setan.,yes,brengsek banget kirim foto setan
